biblioteca,tamano_dataset,repeticion,operacion,segundos,pico_kb,extra
pandas,5000,5,filtrar,0.004526100000020961,246.939453125,OK
sqlite,5000,5,insertar,0.004829800000152318,252.265625,OK
sqlite,5000,5,buscar,6.320000011328375e-05,0.8896484375,OK
sqlite,5000,5,filtrar,0.021527900000364752,1878.0224609375,OK
listas,10000,1,insertar,0.0003268000000389293,83.234375,10000
listas,10000,1,buscar,5.129999999553547e-05,0.046875,OK
listas,10000,1,filtrar,0.0006447999999181775,46.046875,OK
pandas,10000,1,insertar,0.029409499999928812,1259.986328125,10000
pandas,10000,1,buscar,0.0011417999999139283,17.82421875,OK
pandas,10000,1,filtrar,0.009000600000035774,491.072265625,OK
sqlite,10000,1,insertar,0.010419000000183587,646.109375,OK
sqlite,10000,1,buscar,6.0200000007171184e-05,0.8896484375,OK
sqlite,10000,1,filtrar,0.046862400000009075,3909.8818359375,OK
listas,10000,2,insertar,0.0005378000000746397,83.234375,10000
listas,10000,2,buscar,7.370000002993038e-05,0.046875,OK
listas,10000,2,filtrar,0.0006345000001601875,46.046875,OK
pandas,10000,2,insertar,0.029553299999861338,1259.986328125,10000
pandas,10000,2,buscar,0.0011076999999204418,17.82421875,OK
pandas,10000,2,filtrar,0.008543599999939033,491.064453125,OK
sqlite,10000,2,insertar,0.010350699999889912,646.109375,OK
sqlite,10000,2,buscar,6.470000016634003e-05,0.8896484375,OK
sqlite,10000,2,filtrar,0.06066999999984546,3909.8818359375,OK
listas,10000,3,insertar,0.00026479999996809056,83.234375,10000
listas,10000,3,buscar,4.660000013245735e-05,0.046875,OK
listas,10000,3,filtrar,0.0006130000001576263,46.046875,OK
pandas,10000,3,insertar,0.028801999999814143,1259.986328125,10000
pandas,10000,3,buscar,0.0010966999998345273,17.82421875,OK
pandas,10000,3,filtrar,0.008429599999999482,491.056640625,OK
sqlite,10000,3,insertar,0.010209600000052887,646.109375,OK
sqlite,10000,3,buscar,7.120000009308569e-05,0.8896484375,OK
sqlite,10000,3,filtrar,0.04527630000029603,3909.8818359375,OK
listas,10000,4,insertar,0.0005516000001080101,83.234375,10000
listas,10000,4,buscar,7.090000008247443e-05,0.046875,OK
listas,10000,4,filtrar,0.0006447000000662229,46.046875,OK
pandas,10000,4,insertar,0.02892229999997653,1259.986328125,10000
pandas,10000,4,buscar,0.0011295999997855688,17.82421875,OK
pandas,10000,4,filtrar,0.008457200000066223,491.048828125,OK
sqlite,10000,4,insertar,0.010693000000173924,646.109375,OK
sqlite,10000,4,buscar,8.040000011533266e-05,0.8896484375,OK
sqlite,10000,4,filtrar,0.04589720000012676,3909.8818359375,OK
listas,10000,5,insertar,0.0005482000001393317,83.234375,10000
listas,10000,5,buscar,6.819999998697313e-05,0.046875,OK
listas,10000,5,filtrar,0.0006253999999898952,46.046875,OK
pandas,10000,5,insertar,0.029343799999878684,1259.986328125,10000
pandas,10000,5,buscar,0.0011237999997320003,17.82421875,OK
pandas,10000,5,filtrar,0.008443499999884807,491.041015625,OK
sqlite,10000,5,insertar,0.010587799999939307,646.109375,OK
sqlite,10000,5,buscar,8.01000001047214e-05,0.8896484375,OK
sqlite,10000,5,filtrar,0.04650549999996656,3909.8818359375,OK
